game_id,season,game_date,start_time_ET,season_type,game_schedule_state,away_team_id,away_score,away_abbreviation,home_score,home_team_id,home_abbreviation,pbp_link,shift_link,start_time_utc
2020020009,20202021,2021-02-22,19:00,R,OK,25,1,DAL,3,13,FLA,https://api-web.nhle.com/v1/gamecenter/2020020009/play-by-play,https://api.nhle.com/stats/rest/en/shiftcharts?cayenneExp=gameId=2020020009,2021-02-23T00:00:00.000000+0000
2020020014,20202021,2021-01-14,21:00,R,OK,28,4,SJS,3,53,ARI,https://api-web.nhle.com/v1/gamecenter/2020020014/play-by-play,https://api.nhle.com/stats/rest/en/shiftcharts?cayenneExp=gameId=2020020014,2021-01-15T02:00:00.000000+0000
2020020022,20202021,2021-01-15,21:00,R,OK,19,0,STL,8,21,COL,https://api-web.nhle.com/v1/gamecenter/2020020022/play-by-play,https://api.nhle.com/stats/rest/en/shiftcharts?cayenneExp=gameId=2020020022,2021-01-16T02:00:00.000000+0000
2020020033,20202021,2021-05-05,19:00,R,OK,25,2,DAL,6,14,TBL,https://api-web.nhle.com/v1/gamecenter/2020020033/play-by-play,https://api.nhle.com/stats/rest/en/shiftcharts?cayenneExp=gameId=2020020033,2021-05-05T23:00:00.000000+0000
2020020036,20202021,2021-01-18,17:00,R,OK,6,0,BOS,1,2,NYI,https://api-web.nhle.com/v1/gamecenter/2020020036/play-by-play,https://api.nhle.com/stats/rest/en/shiftcharts?cayenneExp=gameId=2020020036,2021-01-18T22:00:00.000000+0000
2020020043,20202021,2021-01-18,21:00,R,OK,8,3,MTL,1,22,EDM,https://api-web.nhle.com/v1/gamecenter/2020020043/play-by-play,https://api.nhle.com/stats/rest/en/shiftcharts?cayenneExp=gameId=2020020043,2021-01-19T02:00:00.000000+0000
2020020052,20202021,2021-03-02,20:00,R,OK,12,4,CAR,2,18,NSH,https://api-web.nhle.com/v1/gamecenter/2020020052/play-by-play,https://api.nhle.com/stats/rest/en/shiftcharts?cayenneExp=gameId=2020020052,2021-03-03T01:00:00.000000+0000
2020020079,20202021,2021-01-23,22:00,R,OK,9,3,OTT,6,52,WPG,https://api-web.nhle.com/v1/gamecenter/2020020079/play-by-play,https://api.nhle.com/stats/rest/en/shiftcharts?cayenneExp=gameId=2020020079,2021-01-24T03:00:00.000000+0000
2020020088,20202021,2021-01-24,20:00,R,OK,28,5,SJS,3,30,MIN,https://api-web.nhle.com/v1/gamecenter/2020020088/play-by-play,https://api.nhle.com/stats/rest/en/shiftcharts?cayenneExp=gameId=2020020088,2021-01-25T01:00:00.000000+0000
2020020091,20202021,2021-01-24,20:00,R,OK,21,1,COL,3,24,ANA,https://api-web.nhle.com/v1/gamecenter/2020020091/play-by-play,https://api.nhle.com/stats/rest/en/shiftcharts?cayenneExp=gameId=2020020091,2021-01-25T01:00:00.000000+0000
2020020096,20202021,2021-01-26,19:00,R,OK,2,2,NYI,3,15,WSH,https://api-web.nhle.com/v1/gamecenter/2020020096/play-by-play,https://api.nhle.com/stats/rest/en/shiftcharts?cayenneExp=gameId=2020020096,2021-01-27T00:00:00.000000+0000
2020020098,20202021,2021-01-26,19:00,R,OK,13,4,FLA,3,29,CBJ,https://api-web.nhle.com/v1/gamecenter/2020020098/play-by-play,https://api.nhle.com/stats/rest/en/shiftcharts?cayenneExp=gameId=2020020098,2021-01-27T00:00:00.000000+0000
2020020115,20202021,2021-01-28,19:00,R,OK,20,2,CGY,4,8,MTL,https://api-web.nhle.com/v1/gamecenter/2020020115/play-by-play,https://api.nhle.com/stats/rest/en/shiftcharts?cayenneExp=gameId=2020020115,2021-01-29T00:00:00.000000+0000
