game_id,season,game_date,start_time_ET,game_type_code,status_abstract_game_state,status_coded_game_state,status_detailed_state,status_status_code,away_team_id,away_score,away_team_name,home_score,home_team_id,home_team_name,pbp_link,shift_link,start_time_UTC
2019030416,20192020,2020-09-28,20:00,P,Final,7,Final,7,14,2,Tampa Bay Lightning,0,25,Dallas Stars,https://api-web.nhle.com/v1/gamecenter/2019030416/play-by-play,https://api.nhle.com/stats/rest/en/shiftcharts?cayenneExp=gameId=2019030416,2020-09-29T00:00:00.000000+0000
2019030415,20192020,2020-09-26,20:00,P,Final,7,Final,7,25,3,Dallas Stars,2,14,Tampa Bay Lightning,https://api-web.nhle.com/v1/gamecenter/2019030415/play-by-play,https://api.nhle.com/stats/rest/en/shiftcharts?cayenneExp=gameId=2019030415,2020-09-27T00:00:00.000000+0000
2019030414,20192020,2020-09-25,20:00,P,Final,7,Final,7,14,5,Tampa Bay Lightning,4,25,Dallas Stars,https://api-web.nhle.com/v1/gamecenter/2019030414/play-by-play,https://api.nhle.com/stats/rest/en/shiftcharts?cayenneExp=gameId=2019030414,2020-09-26T00:00:00.000000+0000
2019030413,20192020,2020-09-23,20:00,P,Final,7,Final,7,14,5,Tampa Bay Lightning,2,25,Dallas Stars,https://api-web.nhle.com/v1/gamecenter/2019030413/play-by-play,https://api.nhle.com/stats/rest/en/shiftcharts?cayenneExp=gameId=2019030413,2020-09-24T00:00:00.000000+0000
2019030412,20192020,2020-09-21,20:00,P,Final,7,Final,7,25,2,Dallas Stars,3,14,Tampa Bay Lightning,https://api-web.nhle.com/v1/gamecenter/2019030412/play-by-play,https://api.nhle.com/stats/rest/en/shiftcharts?cayenneExp=gameId=2019030412,2020-09-22T00:00:00.000000+0000
2019030411,20192020,2020-09-19,19:30,P,Final,7,Final,7,25,4,Dallas Stars,1,14,Tampa Bay Lightning,https://api-web.nhle.com/v1/gamecenter/2019030411/play-by-play,https://api.nhle.com/stats/rest/en/shiftcharts?cayenneExp=gameId=2019030411,2020-09-19T23:30:00.000000+0000
2019030316,20192020,2020-09-17,20:00,P,Final,7,Final,7,14,2,Tampa Bay Lightning,1,2,New York Islanders,https://api-web.nhle.com/v1/gamecenter/2019030316/play-by-play,https://api.nhle.com/stats/rest/en/shiftcharts?cayenneExp=gameId=2019030316,2020-09-18T00:00:00.000000+0000
2019030315,20192020,2020-09-15,20:00,P,Final,7,Final,7,2,2,New York Islanders,1,14,Tampa Bay Lightning,https://api-web.nhle.com/v1/gamecenter/2019030315/play-by-play,https://api.nhle.com/stats/rest/en/shiftcharts?cayenneExp=gameId=2019030315,2020-09-16T00:00:00.000000+0000
2019030325,20192020,2020-09-14,20:00,P,Final,7,Final,7,25,3,Dallas Stars,2,54,Vegas Golden Knights,https://api-web.nhle.com/v1/gamecenter/2019030325/play-by-play,https://api.nhle.com/stats/rest/en/shiftcharts?cayenneExp=gameId=2019030325,2020-09-15T00:00:00.000000+0000
2019030324,20192020,2020-09-12,20:00,P,Final,7,Final,7,54,1,Vegas Golden Knights,2,25,Dallas Stars,https://api-web.nhle.com/v1/gamecenter/2019030324/play-by-play,https://api.nhle.com/stats/rest/en/shiftcharts?cayenneExp=gameId=2019030324,2020-09-13T00:00:00.000000+0000
