game_id,season,game_date,start_time_ET,game_type_code,status_abstract_game_state,status_coded_game_state,status_detailed_state,status_status_code,away_team_id,away_score,away_team_name,home_score,home_team_id,home_team_name,pbp_link,shift_link,start_time_UTC
2015030237,20152016,2016-05-11,20:00,P,Final,7,Final,7,19,6,St. Louis Blues,1,25,Dallas Stars,https://api-web.nhle.com/v1/gamecenter/2015030237/play-by-play,https://api.nhle.com/stats/rest/en/shiftcharts?cayenneExp=gameId=2015030237,2016-05-12T00:00:00.000000+0000
2015030226,20152016,2016-05-10,20:00,P,Final,7,Final,7,15,3,Washington Capitals,4,5,Pittsburgh Penguins,https://api-web.nhle.com/v1/gamecenter/2015030226/play-by-play,https://api.nhle.com/stats/rest/en/shiftcharts?cayenneExp=gameId=2015030226,2016-05-11T00:00:00.000000+0000
2015030236,20152016,2016-05-09,20:00,P,Final,7,Final,7,25,3,Dallas Stars,2,19,St. Louis Blues,https://api-web.nhle.com/v1/gamecenter/2015030236/play-by-play,https://api.nhle.com/stats/rest/en/shiftcharts?cayenneExp=gameId=2015030236,2016-05-10T00:00:00.000000+0000
2015030246,20152016,2016-05-09,21:00,P,Final,7,Final,7,28,3,San Jose Sharks,4,18,Nashville Predators,https://api-web.nhle.com/v1/gamecenter/2015030246/play-by-play,https://api.nhle.com/stats/rest/en/shiftcharts?cayenneExp=gameId=2015030246,2016-05-10T01:00:00.000000+0000
2015030245,20152016,2016-05-07,22:00,P,Final,7,Final,7,18,1,Nashville Predators,5,28,San Jose Sharks,https://api-web.nhle.com/v1/gamecenter/2015030245/play-by-play,https://api.nhle.com/stats/rest/en/shiftcharts?cayenneExp=gameId=2015030245,2016-05-08T02:00:00.000000+0000
2015030215,20152016,2016-05-08,15:00,P,Final,7,Final,7,2,0,New York Islanders,4,14,Tampa Bay Lightning,https://api-web.nhle.com/v1/gamecenter/2015030215/play-by-play,https://api.nhle.com/stats/rest/en/shiftcharts?cayenneExp=gameId=2015030215,2016-05-08T19:00:00.000000+0000
2015030235,20152016,2016-05-07,13:00,P,Final,7,Final,7,19,4,St. Louis Blues,1,25,Dallas Stars,https://api-web.nhle.com/v1/gamecenter/2015030235/play-by-play,https://api.nhle.com/stats/rest/en/shiftcharts?cayenneExp=gameId=2015030235,2016-05-07T17:00:00.000000+0000
2015030225,20152016,2016-05-07,19:15,P,Final,7,Final,7,5,1,Pittsburgh Penguins,3,15,Washington Capitals,https://api-web.nhle.com/v1/gamecenter/2015030225/play-by-play,https://api.nhle.com/stats/rest/en/shiftcharts?cayenneExp=gameId=2015030225,2016-05-07T23:15:00.000000+0000
2015030234,20152016,2016-05-05,20:00,P,Final,7,Final,7,25,3,Dallas Stars,2,19,St. Louis Blues,https://api-web.nhle.com/v1/gamecenter/2015030234/play-by-play,https://api.nhle.com/stats/rest/en/shiftcharts?cayenneExp=gameId=2015030234,2016-05-06T00:00:00.000000+0000
2015030244,20152016,2016-05-05,21:00,P,Final,7,Final,7,28,3,San Jose Sharks,4,18,Nashville Predators,https://api-web.nhle.com/v1/gamecenter/2015030244/play-by-play,https://api.nhle.com/stats/rest/en/shiftcharts?cayenneExp=gameId=2015030244,2016-05-06T01:00:00.000000+0000
2015030214,20152016,2016-05-06,19:00,P,Final,7,Final,7,14,2,Tampa Bay Lightning,1,2,New York Islanders,https://api-web.nhle.com/v1/gamecenter/2015030214/play-by-play,https://api.nhle.com/stats/rest/en/shiftcharts?cayenneExp=gameId=2015030214,2016-05-06T23:00:00.000000+0000
2015030224,20152016,2016-05-04,20:00,P,Final,7,Final,7,15,2,Washington Capitals,3,5,Pittsburgh Penguins,https://api-web.nhle.com/v1/gamecenter/2015030224/play-by-play,https://api.nhle.com/stats/rest/en/shiftcharts?cayenneExp=gameId=2015030224,2016-05-05T00:00:00.000000+0000
2015030243,20152016,2016-05-03,21:00,P,Final,7,Final,7,28,1,San Jose Sharks,4,18,Nashville Predators,https://api-web.nhle.com/v1/gamecenter/2015030243/play-by-play,https://api.nhle.com/stats/rest/en/shiftcharts?cayenneExp=gameId=2015030243,2016-05-04T01:00:00.000000+0000
2015030233,20152016,2016-05-03,21:30,P,Final,7,Final,7,25,1,Dallas Stars,6,19,St. Louis Blues,https://api-web.nhle.com/v1/gamecenter/2015030233/play-by-play,https://api.nhle.com/stats/rest/en/shiftcharts?cayenneExp=gameId=2015030233,2016-05-04T01:30:00.000000+0000
2015030223,20152016,2016-05-02,20:00,P,Final,7,Final,7,15,2,Washington Capitals,3,5,Pittsburgh Penguins,https://api-web.nhle.com/v1/gamecenter/2015030223/play-by-play,https://api.nhle.com/stats/rest/en/shiftcharts?cayenneExp=gameId=2015030223,2016-05-03T00:00:00.000000+0000
2015030213,20152016,2016-05-03,19:00,P,Final,7,Final,7,14,5,Tampa Bay Lightning,4,2,New York Islanders,https://api-web.nhle.com/v1/gamecenter/2015030213/play-by-play,https://api.nhle.com/stats/rest/en/shiftcharts?cayenneExp=gameId=2015030213,2016-05-03T23:00:00.000000+0000
2015030242,20152016,2016-05-01,20:00,P,Final,7,Final,7,18,2,Nashville Predators,3,28,San Jose Sharks,https://api-web.nhle.com/v1/gamecenter/2015030242/play-by-play,https://api.nhle.com/stats/rest/en/shiftcharts?cayenneExp=gameId=2015030242,2016-05-02T00:00:00.000000+0000
2015030222,20152016,2016-04-30,20:00,P,Final,7,Final,7,5,2,Pittsburgh Penguins,1,15,Washington Capitals,https://api-web.nhle.com/v1/gamecenter/2015030222/play-by-play,https://api.nhle.com/stats/rest/en/shiftcharts?cayenneExp=gameId=2015030222,2016-05-01T00:00:00.000000+0000
2015030232,20152016,2016-05-01,15:00,P,Final,7,Final,7,19,4,St. Louis Blues,3,25,Dallas Stars,https://api-web.nhle.com/v1/gamecenter/2015030232/play-by-play,https://api.nhle.com/stats/rest/en/shiftcharts?cayenneExp=gameId=2015030232,2016-05-01T19:00:00.000000+0000
2015030231,20152016,2016-04-29,20:00,P,Final,7,Final,7,19,1,St. Louis Blues,2,25,Dallas Stars,https://api-web.nhle.com/v1/gamecenter/2015030231/play-by-play,https://api.nhle.com/stats/rest/en/shiftcharts?cayenneExp=gameId=2015030231,2016-04-30T00:00:00.000000+0000
2015030241,20152016,2016-04-29,22:30,P,Final,7,Final,7,18,2,Nashville Predators,5,28,San Jose Sharks,https://api-web.nhle.com/v1/gamecenter/2015030241/play-by-play,https://api.nhle.com/stats/rest/en/shiftcharts?cayenneExp=gameId=2015030241,2016-04-30T02:30:00.000000+0000
2015030212,20152016,2016-04-30,15:00,P,Final,7,Final,7,2,1,New York Islanders,4,14,Tampa Bay Lightning,https://api-web.nhle.com/v1/gamecenter/2015030212/play-by-play,https://api.nhle.com/stats/rest/en/shiftcharts?cayenneExp=gameId=2015030212,2016-04-30T19:00:00.000000+0000
2015030221,20152016,2016-04-28,20:00,P,Final,7,Final,7,5,3,Pittsburgh Penguins,4,15,Washington Capitals,https://api-web.nhle.com/v1/gamecenter/2015030221/play-by-play,https://api.nhle.com/stats/rest/en/shiftcharts?cayenneExp=gameId=2015030221,2016-04-29T00:00:00.000000+0000
2015030177,20152016,2016-04-27,22:00,P,Final,7,Final,7,18,2,Nashville Predators,1,24,Anaheim Ducks,https://api-web.nhle.com/v1/gamecenter/2015030177/play-by-play,https://api.nhle.com/stats/rest/en/shiftcharts?cayenneExp=gameId=2015030177,2016-04-28T02:00:00.000000+0000
2015030211,20152016,2016-04-27,19:00,P,Final,7,Final,7,2,5,New York Islanders,3,14,Tampa Bay Lightning,https://api-web.nhle.com/v1/gamecenter/2015030211/play-by-play,https://api.nhle.com/stats/rest/en/shiftcharts?cayenneExp=gameId=2015030211,2016-04-27T23:00:00.000000+0000
2015030176,20152016,2016-04-25,20:00,P,Final,7,Final,7,24,1,Anaheim Ducks,3,18,Nashville Predators,https://api-web.nhle.com/v1/gamecenter/2015030176/play-by-play,https://api.nhle.com/stats/rest/en/shiftcharts?cayenneExp=gameId=2015030176,2016-04-26T00:00:00.000000+0000
2015030167,20152016,2016-04-25,20:30,P,Final,7,Final,7,16,2,Chicago Blackhawks,3,19,St. Louis Blues,https://api-web.nhle.com/v1/gamecenter/2015030167/play-by-play,https://api.nhle.com/stats/rest/en/shiftcharts?cayenneExp=gameId=2015030167,2016-04-26T00:30:00.000000+0000
2015030166,20152016,2016-04-23,20:00,P,Final,7,Final,7,19,3,St. Louis Blues,6,16,Chicago Blackhawks,https://api-web.nhle.com/v1/gamecenter/2015030166/play-by-play,https://api.nhle.com/stats/rest/en/shiftcharts?cayenneExp=gameId=2015030166,2016-04-24T00:00:00.000000+0000
2015030136,20152016,2016-04-24,12:00,P,Final,7,Final,7,15,1,Washington Capitals,0,4,Philadelphia Flyers,https://api-web.nhle.com/v1/gamecenter/2015030136/play-by-play,https://api.nhle.com/stats/rest/en/shiftcharts?cayenneExp=gameId=2015030136,2016-04-24T16:00:00.000000+0000
2015030156,20152016,2016-04-24,15:00,P,Final,7,Final,7,25,5,Dallas Stars,4,30,Minnesota Wild,https://api-web.nhle.com/v1/gamecenter/2015030156/play-by-play,https://api.nhle.com/stats/rest/en/shiftcharts?cayenneExp=gameId=2015030156,2016-04-24T19:00:00.000000+0000
2015030116,20152016,2016-04-24,19:00,P,Final,7,Final,7,13,1,Florida Panthers,2,2,New York Islanders,https://api-web.nhle.com/v1/gamecenter/2015030116/play-by-play,https://api.nhle.com/stats/rest/en/shiftcharts?cayenneExp=gameId=2015030116,2016-04-24T23:00:00.000000+0000
2015030115,20152016,2016-04-22,20:00,P,Final,7,Final,7,2,2,New York Islanders,1,13,Florida Panthers,https://api-web.nhle.com/v1/gamecenter/2015030115/play-by-play,https://api.nhle.com/stats/rest/en/shiftcharts?cayenneExp=gameId=2015030115,2016-04-23T00:00:00.000000+0000
2015030155,20152016,2016-04-22,21:30,P,Final,7,Final,7,30,5,Minnesota Wild,4,25,Dallas Stars,https://api-web.nhle.com/v1/gamecenter/2015030155/play-by-play,https://api.nhle.com/stats/rest/en/shiftcharts?cayenneExp=gameId=2015030155,2016-04-23T01:30:00.000000+0000
2015030185,20152016,2016-04-22,22:30,P,Final,7,Final,7,28,6,San Jose Sharks,3,26,Los Angeles Kings,https://api-web.nhle.com/v1/gamecenter/2015030185/play-by-play,https://api.nhle.com/stats/rest/en/shiftcharts?cayenneExp=gameId=2015030185,2016-04-23T02:30:00.000000+0000
2015030145,20152016,2016-04-23,15:00,P,Final,7,Final,7,3,3,New York Rangers,6,5,Pittsburgh Penguins,https://api-web.nhle.com/v1/gamecenter/2015030145/play-by-play,https://api.nhle.com/stats/rest/en/shiftcharts?cayenneExp=gameId=2015030145,2016-04-23T19:00:00.000000+0000
2015030175,20152016,2016-04-23,18:00,P,Final,7,Final,7,18,2,Nashville Predators,5,24,Anaheim Ducks,https://api-web.nhle.com/v1/gamecenter/2015030175/play-by-play,https://api.nhle.com/stats/rest/en/shiftcharts?cayenneExp=gameId=2015030175,2016-04-23T22:00:00.000000+0000
2015030174,20152016,2016-04-21,20:00,P,Final,7,Final,7,24,4,Anaheim Ducks,1,18,Nashville Predators,https://api-web.nhle.com/v1/gamecenter/2015030174/play-by-play,https://api.nhle.com/stats/rest/en/shiftcharts?cayenneExp=gameId=2015030174,2016-04-22T00:00:00.000000+0000
2015030165,20152016,2016-04-21,21:30,P,Final,7,Final,7,16,4,Chicago Blackhawks,3,19,St. Louis Blues,https://api-web.nhle.com/v1/gamecenter/2015030165/play-by-play,https://api.nhle.com/stats/rest/en/shiftcharts?cayenneExp=gameId=2015030165,2016-04-22T01:30:00.000000+0000
2015030135,20152016,2016-04-22,19:00,P,Final,7,Final,7,4,2,Philadelphia Flyers,0,15,Washington Capitals,https://api-web.nhle.com/v1/gamecenter/2015030135/play-by-play,https://api.nhle.com/stats/rest/en/shiftcharts?cayenneExp=gameId=2015030135,2016-04-22T23:00:00.000000+0000
2015030114,20152016,2016-04-20,20:00,P,Final,7,Final,7,13,2,Florida Panthers,1,2,New York Islanders,https://api-web.nhle.com/v1/gamecenter/2015030114/play-by-play,https://api.nhle.com/stats/rest/en/shiftcharts?cayenneExp=gameId=2015030114,2016-04-21T00:00:00.000000+0000
2015030154,20152016,2016-04-20,21:30,P,Final,7,Final,7,25,3,Dallas Stars,2,30,Minnesota Wild,https://api-web.nhle.com/v1/gamecenter/2015030154/play-by-play,https://api.nhle.com/stats/rest/en/shiftcharts?cayenneExp=gameId=2015030154,2016-04-21T01:30:00.000000+0000
2015030184,20152016,2016-04-20,22:30,P,Final,7,Final,7,26,2,Los Angeles Kings,3,28,San Jose Sharks,https://api-web.nhle.com/v1/gamecenter/2015030184/play-by-play,https://api.nhle.com/stats/rest/en/shiftcharts?cayenneExp=gameId=2015030184,2016-04-21T02:30:00.000000+0000
2015030125,20152016,2016-04-21,19:00,P,Final,7,Final,7,17,0,Detroit Red Wings,1,14,Tampa Bay Lightning,https://api-web.nhle.com/v1/gamecenter/2015030125/play-by-play,https://api.nhle.com/stats/rest/en/shiftcharts?cayenneExp=gameId=2015030125,2016-04-21T23:00:00.000000+0000
2015030144,20152016,2016-04-21,19:00,P,Final,7,Final,7,5,5,Pittsburgh Penguins,0,3,New York Rangers,https://api-web.nhle.com/v1/gamecenter/2015030144/play-by-play,https://api.nhle.com/stats/rest/en/shiftcharts?cayenneExp=gameId=2015030144,2016-04-21T23:00:00.000000+0000
2015030164,20152016,2016-04-19,21:30,P,Final,7,Final,7,19,4,St. Louis Blues,3,16,Chicago Blackhawks,https://api-web.nhle.com/v1/gamecenter/2015030164/play-by-play,https://api.nhle.com/stats/rest/en/shiftcharts?cayenneExp=gameId=2015030164,2016-04-20T01:30:00.000000+0000
2015030173,20152016,2016-04-19,21:30,P,Final,7,Final,7,24,3,Anaheim Ducks,0,18,Nashville Predators,https://api-web.nhle.com/v1/gamecenter/2015030173/play-by-play,https://api.nhle.com/stats/rest/en/shiftcharts?cayenneExp=gameId=2015030173,2016-04-20T01:30:00.000000+0000
2015030134,20152016,2016-04-20,19:00,P,Final,7,Final,7,15,1,Washington Capitals,2,4,Philadelphia Flyers,https://api-web.nhle.com/v1/gamecenter/2015030134/play-by-play,https://api.nhle.com/stats/rest/en/shiftcharts?cayenneExp=gameId=2015030134,2016-04-20T23:00:00.000000+0000
2015030153,20152016,2016-04-18,20:30,P,Final,7,Final,7,25,3,Dallas Stars,5,30,Minnesota Wild,https://api-web.nhle.com/v1/gamecenter/2015030153/play-by-play,https://api.nhle.com/stats/rest/en/shiftcharts?cayenneExp=gameId=2015030153,2016-04-19T00:30:00.000000+0000
2015030183,20152016,2016-04-18,22:30,P,Final,7,Final,7,26,2,Los Angeles Kings,1,28,San Jose Sharks,https://api-web.nhle.com/v1/gamecenter/2015030183/play-by-play,https://api.nhle.com/stats/rest/en/shiftcharts?cayenneExp=gameId=2015030183,2016-04-19T02:30:00.000000+0000
2015030124,20152016,2016-04-19,19:00,P,Final,7,Final,7,14,3,Tampa Bay Lightning,2,17,Detroit Red Wings,https://api-web.nhle.com/v1/gamecenter/2015030124/play-by-play,https://api.nhle.com/stats/rest/en/shiftcharts?cayenneExp=gameId=2015030124,2016-04-19T23:00:00.000000+0000
2015030143,20152016,2016-04-19,19:00,P,Final,7,Final,7,5,3,Pittsburgh Penguins,1,3,New York Rangers,https://api-web.nhle.com/v1/gamecenter/2015030143/play-by-play,https://api.nhle.com/stats/rest/en/shiftcharts?cayenneExp=gameId=2015030143,2016-04-19T23:00:00.000000+0000
2015030113,20152016,2016-04-17,20:00,P,Final,7,Final,7,13,3,Florida Panthers,4,2,New York Islanders,https://api-web.nhle.com/v1/gamecenter/2015030113/play-by-play,https://api.nhle.com/stats/rest/en/shiftcharts?cayenneExp=gameId=2015030113,2016-04-18T00:00:00.000000+0000
2015030172,20152016,2016-04-17,22:30,P,Final,7,Final,7,18,3,Nashville Predators,2,24,Anaheim Ducks,https://api-web.nhle.com/v1/gamecenter/2015030172/play-by-play,https://api.nhle.com/stats/rest/en/shiftcharts?cayenneExp=gameId=2015030172,2016-04-18T02:30:00.000000+0000
2015030133,20152016,2016-04-18,19:00,P,Final,7,Final,7,15,6,Washington Capitals,1,4,Philadelphia Flyers,https://api-web.nhle.com/v1/gamecenter/2015030133/play-by-play,https://api.nhle.com/stats/rest/en/shiftcharts?cayenneExp=gameId=2015030133,2016-04-18T23:00:00.000000+0000
2015030152,20152016,2016-04-16,20:00,P,Final,7,Final,7,30,1,Minnesota Wild,2,25,Dallas Stars,https://api-web.nhle.com/v1/gamecenter/2015030152/play-by-play,https://api.nhle.com/stats/rest/en/shiftcharts?cayenneExp=gameId=2015030152,2016-04-17T00:00:00.000000+0000
2015030182,20152016,2016-04-16,22:30,P,Final,7,Final,7,28,2,San Jose Sharks,1,26,Los Angeles Kings,https://api-web.nhle.com/v1/gamecenter/2015030182/play-by-play,https://api.nhle.com/stats/rest/en/shiftcharts?cayenneExp=gameId=2015030182,2016-04-17T02:30:00.000000+0000
2015030163,20152016,2016-04-17,15:00,P,Final,7,Final,7,19,3,St. Louis Blues,2,16,Chicago Blackhawks,https://api-web.nhle.com/v1/gamecenter/2015030163/play-by-play,https://api.nhle.com/stats/rest/en/shiftcharts?cayenneExp=gameId=2015030163,2016-04-17T19:00:00.000000+0000
2015030123,20152016,2016-04-17,19:00,P,Final,7,Final,7,14,0,Tampa Bay Lightning,2,17,Detroit Red Wings,https://api-web.nhle.com/v1/gamecenter/2015030123/play-by-play,https://api.nhle.com/stats/rest/en/shiftcharts?cayenneExp=gameId=2015030123,2016-04-17T23:00:00.000000+0000
2015030162,20152016,2016-04-15,20:00,P,Final,7,Final,7,16,3,Chicago Blackhawks,2,19,St. Louis Blues,https://api-web.nhle.com/v1/gamecenter/2015030162/play-by-play,https://api.nhle.com/stats/rest/en/shiftcharts?cayenneExp=gameId=2015030162,2016-04-16T00:00:00.000000+0000
